,name,experiences_offered,transit,host_since,host_location,host_response_time,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
43,2br 2ba near Bev Hills,none,,2010-02-01,"Los Angeles, California, United States",,f,South Robertson,4.0,4.0,t,t,"Los Angeles, CA, United States",South Robertson,Pico-Robertson,City of Los Angeles,Los Angeles,CA,90035,Los Angeles,"Los Angeles, CA",US,United States,34.05433060095864,-118.39388932961077,t,Apartment,Entire home/apt,4,2.0,2.0,3.0,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Private entrance"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed""}",$140.00,$900.00,"$2,500.00",$0.00,$50.00,4,$20.00,14,730,14,14,730,730,14.0,730.0,t,24,54,83,83,0,0,,,,,,,,f,f,f,strict_14_with_grace_period,t,t,4,3,1,0,
44,"Private Studio, 6 Doors to Beach",none,"The 33 Metrobus goes from the Venice Traffic Circle to Union Station downtown. It's best to research your own public transport as there are new light rail lines and buses servicing them all the time. All local transport options have websites: LA Metro, Big Blue Bus and Culver City Bus. Uber is hugely convenient in Los Angeles. I use it myself when I don't want to drive or park.",2010-02-05,"Los Angeles, California, United States",within an hour,t,Venice,1.0,1.0,t,t,"Los Angeles, CA, United States",Venice,Venice,City of Los Angeles,Los Angeles,CA,90291,Los Angeles,"Los Angeles, CA",US,United States,33.980653982794955,-118.46518722086589,f,Guesthouse,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Pets live on this property"",Dog(s),Cat(s),""Free street parking"",Heating,""Family/kid friendly"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Private entrance"",""Hot water"",Microwave,Refrigerator,""Dishes and silverware"",Oven,Stove,""Single level home"",""Beach essentials"",""Luggage dropoff allowed"",""Step-free access"",""Step-free access"",""Step-free access"",Other}",$124.00,$700.00,,$300.00,,2,$0.00,2,15,2,2,15,15,2.0,15.0,t,11,23,46,125,410,48,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,1,1,0,0,3.83
45,MONDRIAN LIKE SKY HIGH STUDIO!,none,"If you don't want to rent a car, Lyft and Uber are always in the area. A 5 minute wait at most.",2009-11-18,"Los Angeles, California, United States",within an hour,t,Hollywood Hills,11.0,11.0,t,t,"Los Angeles, CA, United States",Hollywood Hills,Hollywood Hills,City of Los Angeles,Los Angeles,CA,90068,Los Angeles,"Los Angeles, CA",US,United States,34.1193929713019,-118.32044074917722,f,Guesthouse,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Pets allowed"",""Free street parking"",Heating,Washer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Private entrance"",""Hot water""}",$195.00,"$1,750.00","$4,450.00","$1,000.00",$125.00,2,$25.00,4,730,4,4,730,730,4.0,730.0,t,3,33,62,62,23,7,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,t,t,6,6,0,0,0.28
46,Private oasis in the heart of Hollywood!,none,"There is a convenient metro stop on Vine & Hollywood or you can get to most places walking or biking. Of course, uber and lyft are very prompt around here.",2010-02-10,"Los Angeles, California, United States",within a day,f,Hollywood,1.0,1.0,t,t,"Los Angeles, CA, United States",Hollywood,Hollywood,City of Los Angeles,Los Angeles,CA,90028,Los Angeles,"Los Angeles, CA",US,United States,34.098453329881536,-118.3215066286715,t,Guesthouse,Private room,2,1.5,1.0,1.0,Pull-out Sofa,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets live on this property"",Dog(s),""Hot tub"",""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Long term stays allowed"",""Cleaning before checkout"",""Well-lit path to entrance"",""Host greets you"",""Handheld shower head""}",$74.00,$580.00,"$2,100.00",$150.00,$100.00,1,$20.00,2,90,2,2,90,90,2.0,90.0,t,10,21,31,306,9,5,90.0,9.0,9.0,10.0,10.0,10.0,10.0,f,f,f,moderate,t,t,1,0,1,0,0.09
47,Lovely Condo in Santa Monica,none,"Bus stop is one block walk. Can take one bus to the beach, or into downtown Los Angeles or to mid-city museums and The Grove.  Metro train is about a mile uber or lyft away. This will get you anywhere in greater LA.",2010-02-22,"Marina del Rey, California, United States",within a day,f,Santa Monica,2.0,2.0,t,f,"Santa Monica, CA, United States",Santa Monica,Santa Monica,Other Cities,Santa Monica,CA,90404,Los Angeles,"Santa Monica, CA",US,United States,34.03789133376792,-118.47249120486492,t,Condominium,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Kitchen,""Free parking on premises"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,Shampoo,Hangers,""Hair dryer"",Iron,""Host greets you""}",$103.00,"$1,400.00","$2,800.00",$500.00,$125.00,2,$20.00,30,365,30,30,365,365,30.0,365.0,t,0,0,0,38,0,0,,,,,,,,t,f,f,strict_14_with_grace_period,f,f,2,2,0,0,
48,Charming contemporary guesthouse,none,,2010-02-23,"California, United States",,f,Santa Monica,1.0,1.0,t,f,"Santa Monica, CA, United States",,Santa Monica,Other Cities,Santa Monica,CA,90404,Los Angeles,"Santa Monica, CA",US,United States,34.035896283819426,-118.47732284786362,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Heating,Washer,Dryer,Hangers,""Hair dryer"",Iron}",$100.00,$750.00,"$2,600.00",$250.00,$65.00,1,$8.00,31,365,31,31,365,365,31.0,365.0,t,0,0,11,286,16,0,99.0,10.0,9.0,10.0,10.0,10.0,10.0,t,f,f,strict_14_with_grace_period,f,f,1,1,0,0,0.17
49,Private Studio !- Glendale,none,,2010-02-25,California & Virginia,within a day,f,Glendale,2.0,2.0,t,f,"Glendale, CA, United States",Glendale,Glendale,Other Cities,Glendale,CA,91208,Los Angeles,"Glendale, CA",US,United States,34.197943410645394,-118.22478954411972,t,House,Private room,2,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Heating,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$70.00,$550.00,"$1,400.00",$0.00,$120.00,1,$10.00,7,730,7,7,730,730,7.0,730.0,t,30,60,90,365,17,2,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,2,1,1,0,0.18
50,Adorable Guest House- Glendale,none,,2010-02-25,California & Virginia,within a day,f,Glendale,2.0,2.0,t,f,"Glendale, CA, United States",,Glendale,Other Cities,Glendale,CA,91208,Los Angeles,"Glendale, CA",US,United States,34.19820614724401,-118.22439366466507,t,House,Entire home/apt,2,1.0,1.0,0.0,Real Bed,"{""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Heating}",$100.00,$700.00,"$1,785.00",,,2,$20.00,7,730,7,7,730,730,7.0,730.0,t,9,9,23,292,14,0,99.0,10.0,10.0,9.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,2,1,1,0,0.14
51,"""Best Rental In Hills"" ANGELENO MAG",none,,2009-11-18,"Los Angeles, California, United States",within an hour,t,Hollywood Hills,11.0,11.0,t,t,"Los Angeles, CA, United States",,Hollywood Hills,City of Los Angeles,Los Angeles,CA,90068,Los Angeles,"Los Angeles, CA",US,United States,34.118211927654684,-118.3217769404171,f,Guesthouse,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Private entrance"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",""Patio or balcony"",""Long term stays allowed"",""Host greets you""}",$145.00,"$1,550.00","$3,550.00",$750.00,$100.00,2,$35.00,4,1125,4,4,1125,1125,4.0,1125.0,t,0,12,41,41,25,6,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,t,t,6,6,0,0,0.24
52,Echo Park Bungalow with Patio Garden.,none,"If you only got around on foot you could have a very rich experience from this house, but a Lyft or uber will arrive to pick you up general within three to four minutes. There is parking on the streets, and generally its easy to park within eyesight of the house. The driveway is used by the back house neighbors. They are very nice and cool and private, and one can go days without hearing or seeing them. But thats there driveway.",2010-02-28,"Los Angeles, California, United States",,f,Echo Park,1.0,1.0,t,f,"Los Angeles, CA, United States",Echo Park,Echo Park,City of Los Angeles,Los Angeles,CA,90039,Los Angeles,"Los Angeles, CA",US,United States,34.08946575614408,-118.25578833673569,t,Bungalow,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"{Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Hangers,""Laptop friendly workspace"",""Private entrance""}",$190.00,,"$1,500.00",,,1,$32.00,7,30,7,7,30,30,7.0,30.0,t,0,0,0,80,0,0,,,,,,,,f,f,f,moderate,f,f,1,1,0,0,
53,Silver Lake foothills studio with huge deck,none,,2010-03-11,"Los Angeles, California, United States",within an hour,f,Silver Lake,1.0,1.0,t,f,"Los Angeles, CA, United States",Silver Lake,Silver Lake,City of Los Angeles,Los Angeles,CA,90039,Los Angeles,"Los Angeles, CA",US,United States,34.103121145344225,-118.25778030770219,t,Guest suite,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",""Host greets you""}",$97.00,$698.00,"$2,520.00",$150.00,$30.00,2,$0.00,3,30,3,3,30,30,3.0,30.0,t,22,32,32,32,144,25,94.0,10.0,10.0,10.0,10.0,10.0,9.0,f,t,f,strict_14_with_grace_period,f,f,1,1,0,0,1.6
54,Green Sputnik in Highland Park,none,"Its best to have a car while visiting LA, but the city is getting better and better at providing public transportation. There is a subway station about 15 min walk away, from where you can easily get to Downtown or Pasadena and even to the beach, finally! New subway line just opened up! If you get a car, 110 and 134 freeways are near by which will take you to Downtown in 15 min and Pasadena in 10min. Echo Park, Silver Lake and Atwater Village about 15 min by car.",2010-03-15,"Los Angeles, California, United States",,t,Highland Park,1.0,1.0,t,t,"Los Angeles, CA, United States",Highland Park,Highland Park,City of Los Angeles,Los Angeles,CA,90042,Los Angeles,"Los Angeles, CA",US,United States,34.12002727863475,-118.19037526723748,t,Guest suite,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets live on this property"",Cat(s),""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Hot water"",""Body soap"",""Bath towel"",""Toilet paper"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Long term stays allowed"",""Wide clearance to bed"",""Hot water kettle"",""Central air conditioning"",""Mini fridge"",""Smart TV"",Hammock,""Mountain view"",""Rain shower"",Terrace,""Fire pit"",Netflix,""Pillow-top mattress"",""En suite bathroom"",""Outdoor seating"",""Walk-in shower"",""Full kitchen"",""Bedroom comforts"",""Bathroom essentials""}",$80.00,$450.00,"$1,650.00",$200.00,$50.00,1,$10.00,1,1125,1,1,1125,1125,1.0,1125.0,t,5,13,43,128,119,55,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,f,strict_14_with_grace_period,f,f,1,1,0,0,1.37
55,Cactus Flower - Modernist Solar Guesthouse with Large Garden,none,"The property is a short bike ride to Venice Boardwalk and the beach. Whole Foods Market, as well as Rose Avenue with all its high end coffee shops, restaurants and boutiques are within easy walking distance.  We have beach cruiser bikes for rent!",2010-03-18,"Los Angeles, California, United States",within an hour,f,Venice,8.0,8.0,t,t,"Los Angeles, CA, United States",Venice,Venice,City of Los Angeles,Los Angeles,CA,90291,Los Angeles,"Los Angeles, CA",US,United States,34.00416371252566,-118.46602277396605,t,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Free street parking"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""Private entrance"",""Hot water"",""Body soap"",""Bath towel"",""Toilet paper"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",""Luggage dropoff allowed"",""Long term stays allowed"",""Full kitchen"",""Bedroom comforts"",""Bathroom essentials""}",$249.00,,,"$1,500.00",$120.00,2,$0.00,3,90,3,3,90,90,3.0,90.0,t,0,10,31,293,58,23,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,8,8,0,0,1.25
56,NY STYLE STUDIO LOFT Amazing Space,none,,2009-11-18,"Los Angeles, California, United States",within an hour,t,Hollywood Hills,11.0,11.0,t,t,"Los Angeles, CA, United States",Hollywood Hills,Hollywood Hills,City of Los Angeles,Los Angeles,CA,90068,Los Angeles,"Los Angeles, CA",US,United States,34.118605606983586,-118.32018624394934,f,Guest suite,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Dog(s),""Free street parking"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",$160.00,"$1,650.00","$3,250.00","$1,000.00",$100.00,2,$25.00,4,355,4,4,355,355,4.0,355.0,t,30,60,90,365,16,2,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,t,t,6,6,0,0,0.15
57,Venice Place - Modern Solar Retreat with Garden,none,"The property is a short bike ride to Venice Boardwalk and the beach. Whole Foods Market, as well as Rose Avenue with all its high-end coffee shops, restaurants and boutiques are within easy walking distance. We have beach cruiser bikes for rent!",2010-03-18,"Los Angeles, California, United States",within an hour,f,Venice,8.0,8.0,t,t,"Los Angeles, CA, United States",Venice,Venice,City of Los Angeles,Los Angeles,CA,90291,Los Angeles,"Los Angeles, CA",US,United States,34.00246289585111,-118.46515402064483,f,Guesthouse,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""High chair"",""Pack ’n Play/travel crib"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard"",""Beach essentials"",""Luggage dropoff allowed"",""Well-lit path to entrance"",Other}",$249.00,,,"$1,500.00",$120.00,1,$0.00,3,90,1,3,90,90,3.0,90.0,t,2,2,27,301,34,10,97.0,10.0,10.0,10.0,10.0,10.0,9.0,f,f,f,strict_14_with_grace_period,f,f,8,8,0,0,0.49
58,Beach Bungalow one block to ocean,none,Rent bikes/scooters,2010-03-19,"Los Angeles, California, United States",within a day,f,Venice,1.0,1.0,t,t,"Venice, CA, United States",Venice,Venice,City of Los Angeles,Venice,CA,90291,Los Angeles,"Venice, CA",US,United States,33.98798335857733,-118.4730125720148,f,Bungalow,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{Internet,Wifi,Kitchen,""Pets live on this property"",Cat(s),""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Host greets you""}",$125.00,,,$150.00,$40.00,1,$20.00,2,365,2,2,365,365,2.0,365.0,t,29,59,89,364,238,26,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,moderate,f,f,1,1,0,0,2.24
59,2 block from beach - Charming Historic Bungalow #1,none,The street and area offers plenty of street parking. Please observe street signs for street cleaning days and times in order to avoid a ticket. Street sweeping Thursday from 8am-12pm on one side of the street and Friday from 8am-12pm on the other. Please look for signs when parking your vehicle to avoid getting a ticket. If you do not have your own vehicle we recommend using uber or lift. Many of our guests in the past have recommended this form of transportation.,2009-09-17,"Redondo Beach, California, United States",,t,Redondo Beach,3.0,3.0,t,f,"Redondo Beach, CA, United States",Redondo Beach,Redondo Beach,Other Cities,Redondo Beach,CA,90277,Los Angeles,"Redondo Beach, CA",US,United States,33.83178775360559,-118.38327696455136,t,Bungalow,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,Kitchen,""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Self check-in"",Keypad,""Private living room"",""Private entrance"",Bathtub,""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Garden or backyard"",""Beach essentials"",""Long term stays allowed"",""Step-free access"",Beachfront}",$125.00,$600.00,"$2,200.00",$200.00,$75.00,1,$0.00,2,365,2,3,365,365,2.1,365.0,t,10,31,59,324,288,52,93.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,3,3,0,0,2.7
60,Wolford House...Mid Century Modern Hilltop Jewel!,none,"The Gold Line Metro train station is at the bottom of the hill... runs between downtown LA , through South Pasadena all the way to Pasadena.",2010-03-24,"Los Angeles, California, United States",within an hour,t,Mount Washington,1.0,1.0,t,f,"Los Angeles, CA, United States",Mount Washington,Mount Washington,City of Los Angeles,Los Angeles,CA,90065,Los Angeles,"Los Angeles, CA",US,United States,34.10780400586229,-118.21864080173872,t,House,Entire home/apt,5,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",""Private entrance"",Bathtub,""Fireplace guards"",Crib,""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Disabled parking spot"",""Step-free access"",""Wide doorway"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Wide doorway"",""Accessible-height toilet"",""Step-free access"",""Wide entryway"",""Host greets you"",""Handheld shower head""}",$250.00,"$1,300.00","$5,600.00",,$100.00,2,$35.00,3,185,3,3,185,185,3.0,185.0,t,0,0,5,245,76,27,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,moderate,f,f,1,1,0,0,1.8
61,2 BR Nature Retreat- Stunning Views,none,"There is plenty of street parking. You may also park in the driveway, although cars that are extremely low to the ground may not be able to park there.",2010-03-29,"Los Angeles, California, United States",,f,Glassell Park,2.0,2.0,t,t,"Los Angeles, CA, United States",Glassell Park,Glassell Park,City of Los Angeles,Los Angeles,CA,90065,Los Angeles,"Los Angeles, CA",US,United States,34.10777284614264,-118.23465876619343,t,Bungalow,Entire home/apt,5,1.0,2.0,2.0,Real Bed,"{""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",""Private entrance"",""Hot water"",""Long term stays allowed"",""Host greets you""}",$109.00,$800.00,"$3,000.00",$200.00,$75.00,4,$0.00,7,90,7,7,90,90,7.0,90.0,t,0,12,42,317,25,0,100.0,10.0,10.0,10.0,10.0,9.0,10.0,f,t,f,strict_14_with_grace_period,t,f,2,2,0,0,0.33
62,Downstairs room in a craftsman house,none,"by metro and 3 bus systems: Culver City, Santa Monica and Los Angeles",2010-04-09,"Culver City, California, United States",within an hour,t,Culver City,3.0,3.0,t,t,"Culver City, CA, United States",Culver City,Culver City,Other Cities,Culver City,CA,90232,Los Angeles,"Culver City, CA",US,United States,34.02360608999285,-118.38709648978292,t,Bed and breakfast,Private room,3,1.0,1.0,2.0,Real Bed,"{Internet,Wifi,""Free parking on premises"",Breakfast,""Indoor fireplace"",Heating,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$95.00,,,$100.00,$25.00,1,$25.00,1,365,1,1,365,365,1.0,365.0,t,14,41,67,339,102,26,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,3,0,3,0,0.97
63,Charming Apartment Westwood/West LA/Brentwood,none,there is a blue bus around the corner easy street parking  the FLY AWAY bus takes you into Westwood from LAX( 12$) and you can walk or take the cab( 5min) from there to my APT. Taxi ride is about 45$from LAX,2010-04-12,"Los Angeles, California, United States",within a few hours,f,Westside,2.0,2.0,t,t,"Los Angeles, CA, United States",Westside,West Los Angeles,City of Los Angeles,Los Angeles,CA,90025,Los Angeles,"Los Angeles, CA",US,United States,34.04726631875078,-118.440581172942,f,Apartment,Entire home/apt,1,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Breakfast,""Free street parking"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",Other}",$90.00,$740.00,,$250.00,$50.00,1,$0.00,3,30,3,3,30,30,3.0,30.0,t,30,60,90,365,15,4,85.0,9.0,9.0,10.0,10.0,10.0,9.0,f,f,f,strict_14_with_grace_period,t,t,2,1,1,0,0.16
64,Modern Studio with private garden,none,"We live  10 min walking distance from the Subway Station. From there you can travel to Downtown, the beach, Universal Studios or Hollywood Blvd. where you will find Chinese Theater, Walk of Fame etc.",2010-04-12,"Los Angeles, California, United States",within an hour,f,Mid-Wilshire,1.0,1.0,t,t,"Los Angeles, CA, United States",Mid-Wilshire,East Hollywood,City of Los Angeles,Los Angeles,CA,90004,Los Angeles,"Los Angeles, CA",US,United States,34.080435949127505,-118.29804969975888,t,Guest suite,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Pets allowed"",Breakfast,""Pets live on this property"",Dog(s),""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Babysitter recommendations"",""Hot water"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed""}",$130.00,,,$500.00,$55.00,2,$30.00,2,60,2,2,60,60,2.0,60.0,t,11,41,71,89,195,22,95.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,moderate,f,f,1,1,0,0,1.84
